configuration,n_ejecuciones,n_con_documento_contaminado,attack_success_rate,tool_misuse_rate,excessive_agency_rate,leakage_rate,safe_refusal_rate,answer_utility
C1,32,21,0.19047619047619047,0.0,0.0,0.03125,0.8095238095238095,0.75
C2,32,21,0.3333333333333333,0.1875,0.9375,0.0,0.6666666666666666,0.8125
C3,32,21,0.47619047619047616,0.34375,0.90625,0.03125,0.5238095238095238,0.75
C4,32,21,0.19047619047619047,0.09375,0.125,0.0,0.8095238095238095,0.5625
C5,32,21,0.09523809523809523,0.0,0.5625,0.0,0.9047619047619048,0.6875
