configuration,n_ejecuciones,n_con_documento_contaminado,attack_success_rate,tool_misuse_rate,excessive_agency_rate,leakage_rate,safe_refusal_rate,answer_utility
C1,32,27,0.6296296296296297,0.0,0.0,0.09375,0.37037037037037035,0.59375
C2,32,27,0.4074074074074074,0.1875,0.8125,0.0,0.5925925925925926,0.21875
C3,32,27,0.4444444444444444,0.25,0.8125,0.03125,0.5555555555555556,0.21875
C4,32,27,0.5925925925925926,0.21875,0.71875,0.0,0.4074074074074074,0.375
C5,32,27,0.07407407407407407,0.0,0.5625,0.0,0.9259259259259259,0.21875
