configuration,n_poison,n_total,asr,asr_ci_low,asr_ci_high,au,au_ci_low,au_ci_high
C1,27,32,0.6296296296296297,0.4444444444444444,0.8148148148148148,0.53125,0.34375,0.71875
C2,27,32,0.7407407407407407,0.5555555555555556,0.8888888888888888,0.53125,0.34375,0.71875
C3,27,32,0.7037037037037037,0.5185185185185185,0.8518518518518519,0.625,0.46875,0.78125
C4,27,32,0.3333333333333333,0.14814814814814814,0.5185185185185185,0.34375,0.1875,0.5
C5,27,32,0.18518518518518517,0.037037037037037035,0.3333333333333333,0.59375,0.40625,0.75
