configuration,asr_temp0,asr_temp07_mean,asr_temp07_std,au_temp0,au_temp07_mean,au_temp07_std
C1,0.7037037037037037,0.5308641975308642,0.01745942669596416,0.5,0.53125,0.02551551815399144
C2,0.7407407407407407,0.6790123456790124,0.03491885339192827,0.53125,0.5416666666666666,0.01473139127471974
C3,0.6666666666666666,0.6913580246913581,0.0461933010712832,0.625,0.5625,0.02551551815399144
C4,0.2962962962962963,0.38271604938271603,0.06983770678385653,0.34375,0.375,0.07654655446197431
C5,0.14814814814814814,0.19753086419753085,0.017459426695964134,0.625,0.6041666666666666,0.01473139127471974
