configuration,n_poison,n_total,asr,asr_ci_low,asr_ci_high,au,au_ci_low,au_ci_high
C1,27,32,0.7037037037037037,0.5185185185185185,0.8518518518518519,0.5,0.3125,0.6875
C2,27,32,0.7407407407407407,0.5555555555555556,0.8888888888888888,0.53125,0.34375,0.71875
C3,27,32,0.6666666666666666,0.48148148148148145,0.8518518518518519,0.625,0.46875,0.78125
C4,27,32,0.2962962962962963,0.14814814814814814,0.48148148148148145,0.34375,0.1875,0.5
C5,27,32,0.14814814814814814,0.037037037037037035,0.2962962962962963,0.625,0.4375,0.78125
